Intern_ID,Department,Internship_Duration_Weeks,Feedback_Score,Supervisor_Rating,Commute_Distance_km,Monthly_Stipend_XAF,Remote_Work_Option,Returned
INT-00168,IT,17,7.6,5.7,6.1,50000,No,No
INT-00169,IT,9,7.3,8.9,1.6,75000,Yes,Yes
INT-00170,Engineering,12,4.8,6.3,0.5,50000,No,No
INT-00171,Engineering,10,8.2,7.6,1.6,50000,Yes,Yes
INT-00172,IT,21,8.2,8.0,1.8,100000,No,Yes
INT-00173,Engineering,12,7.7,9.2,10.7,75000,No,Yes
INT-00174,IT,7,8.5,8.5,3.2,25000,No,Yes
INT-00175,Engineering,12,6.5,7.9,1.3,75000,No,Yes
INT-00176,IT,7,5.1,6.7,11.8,100000,No,No
INT-00177,Engineering,15,8.1,8.5,23.1,25000,No,Yes
INT-00178,Admin,7,8.7,6.0,1.3,0,Yes,Yes
INT-00179,Marketing,23,9.0,8.3,26.9,50000,Yes,No
INT-00180,IT,17,7.7,6.3,24.5,25000,No,Yes
INT-00181,Admin,10,8.4,5.9,6.4,0,No,Yes
INT-00182,IT,16,6.0,6.9,3.3,100000,No,Yes
INT-00183,Marketing,11,6.2,9.1,1.7,0,No,Yes
INT-00184,Finance,8,8.6,6.5,14.4,50000,No,Yes
INT-00185,IT,15,4.4,5.7,7.9,100000,No,No
INT-00186,Engineering,16,6.1,6.6,8.9,0,Yes,No
INT-00187,Finance,23,9.0,3.7,16.3,25000,Yes,No
INT-00188,Engineering,17,5.3,7.3,5.2,75000,No,Yes
INT-00189,Engineering,21,8.0,6.9,4.2,50000,No,Yes
INT-00190,IT,23,5.8,7.3,12.0,0,No,No
INT-00191,IT,7,8.0,7.0,3.3,50000,Yes,Yes
INT-00192,Finance,24,6.9,6.4,3.7,50000,Yes,Yes
INT-00193,Marketing,21,8.5,8.5,4.3,75000,No,Yes
INT-00194,Engineering,10,6.0,5.8,16.0,75000,Yes,No
INT-00195,Admin,18,6.8,9.3,12.6,50000,No,Yes
INT-00196,Admin,24,6.6,9.1,3.3,100000,Yes,Yes
INT-00197,Engineering,9,6.7,3.6,1.7,25000,Yes,No
INT-00198,Finance,19,7.8,7.2,4.5,75000,Yes,Yes
INT-00199,Finance,23,6.7,6.9,8.3,25000,No,No
INT-00200,Finance,11,8.9,8.1,9.5,50000,No,Yes
INT-00201,Engineering,24,7.7,7.3,2.3,75000,Yes,Yes
INT-00202,IT,19,4.9,5.0,2.8,75000,No,Yes
INT-00203,IT,19,8.5,8.6,21.8,50000,Yes,No
INT-00204,Finance,6,8.2,8.3,4.4,25000,No,Yes
INT-00205,Engineering,20,5.7,7.9,3.5,0,No,Yes
INT-00206,IT,12,5.1,7.2,10.0,50000,Yes,Yes
INT-00207,IT,6,8.4,5.3,5.5,75000,No,Yes
INT-00208,Engineering,23,6.8,7.2,2.8,25000,Yes,Yes
INT-00209,IT,10,6.6,6.9,4.7,100000,Yes,Yes
INT-00210,IT,21,9.0,7.8,1.7,100000,No,Yes
INT-00211,Engineering,15,5.6,7.4,3.1,50000,Yes,No
INT-00212,Engineering,22,8.8,4.2,4.8,50000,No,Yes
INT-00213,Engineering,19,9.5,7.6,6.3,25000,Yes,Yes
INT-00214,IT,20,7.8,8.5,11.3,25000,No,Yes
INT-00215,Engineering,23,8.8,9.5,4.4,25000,No,Yes
INT-00216,IT,18,7.4,5.4,6.8,50000,No,Yes
INT-00217,Admin,4,8.4,6.5,24.6,150000,Yes,No
INT-00218,Engineering,5,5.2,6.1,14.1,75000,Yes,No
INT-00219,Engineering,11,8.2,6.0,2.7,50000,No,Yes
INT-00220,Finance,5,8.4,5.1,2.4,25000,Yes,Yes
INT-00221,Engineering,22,7.2,6.1,9.2,100000,No,Yes
INT-00222,Engineering,12,8.5,6.2,7.7,75000,No,Yes
INT-00223,IT,12,8.5,6.7,6.8,50000,No,Yes
INT-00224,Admin,16,6.5,4.3,1.8,75000,No,No
INT-00225,IT,9,8.9,9.1,4.1,75000,No,Yes
INT-00226,IT,18,7.8,9.0,11.9,75000,No,Yes
INT-00227,Marketing,22,8.5,7.5,10.8,0,No,Yes
INT-00228,Admin,24,7.4,5.2,1.9,150000,No,No
INT-00229,Finance,18,9.2,5.7,5.0,100000,No,Yes
INT-00230,Engineering,21,7.7,6.8,5.2,0,Yes,Yes
INT-00231,Finance,10,8.5,8.3,6.2,75000,No,No
INT-00232,Engineering,14,9.8,8.3,5.4,50000,No,Yes
INT-00233,Engineering,11,9.7,9.0,6.1,75000,No,Yes
INT-00234,Admin,9,5.0,3.4,13.9,50000,No,No
INT-00235,IT,11,6.9,7.6,4.4,150000,No,Yes
INT-00236,Engineering,5,9.3,8.6,6.9,150000,Yes,Yes
INT-00237,IT,22,6.4,6.0,8.0,0,Yes,Yes
INT-00238,IT,19,8.7,5.8,23.3,50000,No,Yes
INT-00239,Engineering,10,9.4,6.3,9.0,25000,Yes,Yes
INT-00240,IT,13,7.2,8.8,1.6,50000,No,Yes
INT-00241,Marketing,15,7.2,5.5,7.5,50000,No,No
INT-00242,Marketing,20,7.6,7.4,9.2,25000,Yes,Yes
INT-00243,Marketing,10,8.7,5.5,0.6,75000,No,Yes
INT-00244,Admin,11,7.3,6.5,1.1,75000,No,No
INT-00245,IT,10,7.3,7.7,0.7,25000,No,Yes
INT-00246,Marketing,7,8.3,6.9,0.9,75000,Yes,Yes
INT-00247,Admin,6,8.2,7.1,1.3,75000,No,Yes
INT-00248,Marketing,22,8.6,7.7,25.8,100000,No,No
INT-00249,Marketing,18,9.4,5.5,2.4,25000,No,Yes
INT-00250,Finance,7,8.4,7.9,2.3,75000,No,Yes
INT-00251,IT,12,4.9,4.2,16.1,100000,No,No
INT-00252,Admin,16,9.1,8.6,11.7,25000,No,Yes
INT-00253,Finance,21,7.2,8.0,9.5,25000,No,No
INT-00254,Admin,24,5.4,7.4,4.9,25000,Yes,Yes
INT-00255,IT,19,7.7,8.0,0.8,100000,No,Yes
INT-00256,Engineering,4,5.6,4.5,14.5,100000,No,No
INT-00257,Marketing,7,8.2,9.0,16.3,0,No,No
INT-00258,Engineering,21,7.8,7.6,5.8,50000,Yes,Yes
INT-00259,Engineering,11,5.2,9.3,8.8,25000,Yes,Yes
INT-00260,IT,23,8.1,4.6,5.7,25000,No,No
INT-00261,Engineering,19,5.6,9.7,3.3,100000,No,Yes
INT-00262,Marketing,24,3.9,7.6,6.7,150000,No,Yes
INT-00263,IT,14,7.8,5.3,9.8,50000,No,No
INT-00264,Engineering,23,7.4,7.0,1.8,150000,No,Yes
INT-00265,Finance,24,6.3,7.4,6.6,50000,No,No
INT-00266,Engineering,24,7.0,7.0,12.5,75000,No,No
INT-00267,Engineering,24,8.5,5.1,5.7,50000,No,Yes
INT-00268,Engineering,22,8.0,8.3,1.9,50000,No,Yes
INT-00269,Admin,22,9.0,5.2,16.8,75000,No,Yes
INT-00270,IT,21,8.9,7.1,9.5,100000,No,Yes
INT-00271,Finance,22,5.7,5.9,8.5,75000,Yes,Yes
INT-00272,Finance,14,6.8,5.9,8.9,75000,Yes,Yes
INT-00273,Finance,6,8.8,6.8,2.7,50000,Yes,Yes
INT-00274,Marketing,11,7.8,8.4,5.9,150000,Yes,Yes
INT-00275,Engineering,23,8.8,5.2,3.7,100000,No,Yes
INT-00276,Engineering,22,8.2,7.5,14.8,50000,Yes,Yes
INT-00277,Finance,13,8.1,9.6,7.6,100000,Yes,Yes
INT-00278,Engineering,19,7.3,9.4,10.6,25000,Yes,Yes
INT-00279,Engineering,8,8.1,7.7,9.1,50000,No,Yes
INT-00280,Finance,23,6.9,4.3,5.8,25000,No,No
INT-00281,Finance,12,3.1,8.1,13.6,150000,Yes,No
INT-00282,Admin,11,6.3,6.6,8.1,0,No,Yes
INT-00283,Admin,14,5.0,3.1,2.6,150000,Yes,Yes
INT-00284,IT,19,9.4,7.7,3.2,150000,Yes,Yes
INT-00285,Engineering,10,8.9,5.5,14.5,25000,No,Yes
INT-00286,IT,18,5.9,9.0,23.2,150000,No,Yes
INT-00287,Admin,24,9.1,4.1,6.9,50000,No,Yes
INT-00288,Engineering,23,8.0,5.6,4.4,150000,Yes,Yes
INT-00289,IT,20,7.1,7.4,8.3,50000,No,Yes
INT-00290,Engineering,9,5.1,6.7,5.8,50000,No,Yes
INT-00291,IT,18,3.5,6.2,15.2,100000,No,No
INT-00292,IT,11,5.6,9.1,14.8,25000,No,Yes
INT-00293,Finance,10,7.1,6.0,5.4,150000,Yes,Yes
INT-00294,Admin,5,6.4,6.0,13.6,100000,Yes,No
INT-00295,IT,16,8.2,9.9,2.2,25000,No,Yes
INT-00296,Engineering,9,7.2,7.3,4.2,0,No,Yes
INT-00297,Finance,8,3.9,7.4,1.2,75000,No,No
INT-00298,IT,23,7.5,5.8,13.7,50000,No,No
INT-00299,Engineering,4,5.6,6.9,30.1,25000,Yes,No
INT-00300,IT,21,6.0,6.8,7.4,100000,No,No
INT-00301,IT,18,8.8,5.3,12.1,150000,No,Yes
INT-00302,Engineering,13,6.5,2.9,4.6,50000,Yes,Yes
INT-00303,Engineering,6,8.4,6.3,7.1,25000,No,Yes
INT-00304,Engineering,8,5.7,7.7,3.9,100000,No,No
INT-00305,Engineering,16,8.2,9.1,10.0,50000,No,Yes
INT-00306,Marketing,11,3.9,8.9,2.8,150000,Yes,No
INT-00307,Engineering,24,7.3,3.6,1.8,75000,No,Yes
INT-00308,Admin,5,8.2,8.8,18.8,75000,No,No
INT-00309,Finance,12,6.0,4.9,16.5,150000,Yes,Yes
INT-00310,IT,20,9.2,8.1,14.9,100000,No,Yes
INT-00311,Admin,21,9.0,7.5,14.3,50000,Yes,Yes
INT-00312,IT,16,8.7,6.1,11.0,0,No,Yes
INT-00313,IT,4,7.8,6.4,17.1,100000,No,No
INT-00314,Marketing,15,6.4,9.4,2.4,100000,No,Yes
INT-00315,Finance,23,8.6,9.3,16.8,25000,No,Yes
INT-00316,Engineering,23,8.1,7.6,20.5,100000,No,No
INT-00317,Admin,24,9.6,5.3,10.6,100000,Yes,No
INT-00318,IT,8,9.1,7.0,7.8,0,No,Yes
INT-00319,IT,11,6.9,7.9,2.7,75000,No,Yes
INT-00320,IT,18,6.9,7.7,16.6,50000,No,Yes
INT-00321,Engineering,6,7.8,7.3,7.4,0,Yes,No
INT-00322,Engineering,9,7.5,8.5,8.0,50000,Yes,Yes
INT-00323,Engineering,16,6.1,7.1,8.0,75000,Yes,Yes
INT-00324,IT,15,7.1,9.3,16.6,50000,No,Yes
INT-00325,Marketing,22,8.5,4.4,1.7,100000,Yes,Yes
INT-00326,Engineering,21,8.8,6.7,1.0,50000,No,Yes
INT-00327,Engineering,4,8.1,4.8,2.5,0,Yes,Yes
INT-00328,Engineering,10,7.8,7.0,5.9,75000,No,Yes
INT-00329,Admin,15,4.4,8.1,5.6,50000,Yes,Yes
INT-00330,IT,13,7.4,9.4,6.2,0,No,Yes
INT-00331,Admin,15,6.4,7.8,1.5,50000,Yes,Yes
INT-00332,Finance,14,9.2,4.6,13.1,100000,Yes,Yes
INT-00333,IT,7,8.2,7.1,3.4,25000,No,Yes
INT-00334,IT,22,7.4,7.6,20.1,25000,Yes,Yes
INT-00335,IT,9,7.5,9.1,15.2,150000,No,Yes
INT-00336,IT,12,6.8,6.0,1.0,50000,No,Yes
INT-00337,Finance,23,6.2,9.2,0.9,100000,Yes,Yes
INT-00338,Engineering,13,7.2,6.5,8.4,50000,No,Yes
INT-00339,Admin,8,5.4,7.9,1.1,25000,Yes,Yes
INT-00340,IT,16,7.9,2.8,7.3,0,No,Yes
INT-00341,Admin,12,6.3,8.6,1.2,75000,No,Yes
INT-00342,Admin,5,4.3,7.2,5.7,50000,No,No
INT-00343,IT,21,7.1,8.3,4.8,150000,No,Yes
INT-00344,Admin,24,7.9,4.4,7.7,150000,No,Yes
INT-00345,Admin,4,8.7,6.3,4.0,25000,No,Yes
INT-00346,Engineering,24,7.2,8.1,1.7,75000,No,Yes
INT-00347,Engineering,15,6.8,8.0,15.3,25000,No,Yes
INT-00348,IT,13,9.7,8.7,3.3,50000,No,Yes
INT-00349,Admin,5,6.3,6.3,1.1,50000,No,No
INT-00350,Engineering,12,8.5,9.2,6.1,50000,No,Yes
INT-00351,Engineering,5,8.0,7.6,17.3,100000,No,Yes
INT-00352,Finance,17,8.2,4.6,3.1,100000,No,Yes
INT-00353,Engineering,14,4.9,8.9,5.3,75000,No,No
INT-00354,IT,14,7.7,7.7,4.6,75000,No,Yes
INT-00355,IT,20,6.9,6.6,0.9,150000,Yes,Yes
INT-00356,Engineering,7,7.6,4.2,16.7,25000,Yes,Yes
INT-00357,IT,16,7.8,8.3,11.9,50000,No,No
INT-00358,Engineering,10,5.2,6.6,1.3,25000,No,Yes
INT-00359,Marketing,19,9.1,5.2,1.6,25000,No,Yes
INT-00360,Engineering,4,8.4,4.6,0.6,75000,No,Yes
INT-00361,Admin,16,7.9,7.7,34.5,25000,No,No
INT-00362,Engineering,4,4.6,6.3,4.8,150000,No,No
INT-00363,Admin,14,7.5,8.1,21.8,50000,No,No
INT-00364,Engineering,9,7.2,9.5,4.9,50000,Yes,Yes
INT-00365,Marketing,23,8.2,8.5,1.4,50000,No,No
INT-00366,Admin,6,7.3,5.9,3.9,25000,Yes,No
INT-00367,Marketing,15,8.5,7.4,4.8,150000,No,Yes
INT-00368,Marketing,8,4.7,6.3,2.1,75000,No,Yes
INT-00369,IT,12,8.4,7.5,0.9,25000,No,Yes
INT-00370,IT,15,7.3,9.4,3.5,75000,No,Yes
INT-00371,IT,13,5.8,7.1,6.7,25000,No,Yes
INT-00372,IT,22,7.0,7.5,2.9,100000,Yes,Yes
INT-00373,IT,8,6.0,6.5,26.0,75000,No,No
INT-00374,Engineering,8,6.0,8.2,5.8,50000,No,Yes
INT-00375,IT,12,5.0,4.4,1.6,75000,No,No
INT-00376,Admin,23,7.7,8.7,4.8,100000,No,Yes
INT-00377,Finance,20,4.8,9.5,10.3,50000,No,No
INT-00378,IT,13,8.2,5.7,5.8,75000,No,No
INT-00379,Finance,24,5.3,8.0,3.7,50000,No,Yes
INT-00380,IT,4,7.3,6.7,1.4,50000,Yes,Yes
INT-00381,IT,19,7.9,8.5,5.4,100000,No,Yes
INT-00382,Engineering,18,9.4,4.7,1.3,50000,No,Yes
INT-00383,Engineering,20,8.5,6.3,4.2,50000,No,Yes
INT-00384,Finance,23,4.2,7.1,1.5,25000,Yes,Yes
INT-00385,Engineering,16,7.5,5.1,9.5,100000,No,Yes
INT-00386,Finance,4,7.3,8.6,12.3,75000,Yes,Yes
INT-00387,IT,11,8.6,8.2,2.7,75000,No,Yes
INT-00388,IT,8,4.5,4.2,1.1,50000,Yes,No
INT-00389,Finance,9,4.1,6.9,3.9,50000,No,No
INT-00390,Finance,23,8.0,7.5,7.1,75000,Yes,Yes
INT-00391,Marketing,17,6.1,7.9,12.2,0,No,Yes
INT-00392,Admin,14,6.3,4.9,4.6,75000,Yes,Yes
INT-00393,Admin,9,8.6,6.4,4.1,150000,No,Yes
INT-00394,Finance,14,9.8,5.0,19.6,100000,No,Yes
INT-00395,Admin,16,7.4,5.9,5.3,75000,No,Yes
INT-00396,Marketing,15,5.6,9.1,5.2,50000,Yes,Yes
INT-00397,Finance,5,9.6,6.9,4.7,0,No,Yes
INT-00398,Admin,24,9.1,8.6,4.1,150000,No,Yes
INT-00399,Finance,6,8.0,7.1,10.9,150000,No,Yes
INT-00400,Finance,7,5.8,6.8,3.1,50000,No,No
INT-00401,IT,20,8.0,5.9,4.3,75000,No,Yes
INT-00402,Marketing,9,8.7,6.9,3.2,75000,No,Yes
INT-00403,Engineering,10,7.4,7.8,7.3,75000,Yes,Yes
INT-00404,Finance,18,9.0,6.8,26.3,0,No,No
INT-00405,Admin,14,7.2,7.9,4.5,150000,Yes,Yes
INT-00406,Finance,6,6.0,9.2,28.1,100000,Yes,No
INT-00407,Admin,9,7.4,7.9,9.1,25000,No,No
INT-00408,IT,5,7.6,8.0,13.2,50000,No,No
INT-00409,Marketing,17,4.1,8.2,3.7,50000,No,No
INT-00410,IT,12,5.2,8.2,2.5,50000,Yes,Yes
INT-00411,Admin,21,7.9,5.3,7.4,50000,Yes,Yes
INT-00412,Marketing,22,7.8,9.2,38.0,75000,No,No
INT-00413,Marketing,15,9.6,9.2,10.4,50000,No,Yes
INT-00414,Engineering,16,7.5,6.0,9.7,100000,Yes,No
INT-00415,Engineering,15,7.2,8.6,5.3,25000,No,Yes
INT-00416,Admin,15,6.9,4.8,17.4,0,Yes,No
INT-00417,IT,21,6.5,6.8,10.1,50000,No,Yes
INT-00418,Admin,12,9.0,8.1,9.5,50000,No,Yes
INT-00419,Engineering,20,7.3,8.0,3.3,75000,No,Yes
